time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.88246835395e-08,-9.59040065953e-08,10.0049989891,6.28292860829,6.28288506114,0.0,1.6537841757e-05,-1.55648134617e-05,0.166622549228,-0.0146155613378,-0.0175916884764,0.0,457.9181122221479,456.5169072757775,458.46399258971417,457.30154086412426
0.12000000000000001,1.25678690769e-05,-1.11268470663e-05,10.0212067787,6.28190215444,6.28210458791,0.0,0.000506406988984,-0.000463645051655,0.373591564422,-0.022625983899,-0.00513380619288,0.0,468.96290788072434,469.9295262263804,470.1938132041827,469.5730177524145
0.18,6.7252268117e-05,-7.19341437151e-05,10.0474015987,6.28036174452,6.28189545341,0.0,0.00134352415605,-0.00171568859815,0.499521564338,-0.0325959387651,-0.000377445081131,0.0,444.58723091281297,444.97677203506595,446.0621092733611,445.2471812493333
0.23999999999999996,0.000176699437006,-0.000246096228045,10.0821477109,6.27791645133,6.28205671929,0.0,0.00229625818408,-0.00432235773983,0.658602680305,-0.0668355636168,0.00820480299938,0.0,455.9671842552075,456.6521466438203,456.1509800423559,453.4077441689478
0.3,0.000335363543221,-0.000628292824907,10.1244434159,6.27391122751,6.2828456181,0.0,0.00292634644622,-0.00882159782103,0.751194761789,-0.0665906462801,0.0215508338964,0.0,434.0125378362996,435.1309719210337,435.44095993910634,435.4580188851086
0.36000000000000004,0.000513282167177,-0.001385410038,10.174610718,6.26995547542,0.00087677591198,0.0,0.002863162992,-0.0168609548349,0.920922181057,-0.0646387052291,0.0175911490125,0.0,460.02844980369315,459.7148056384478,458.2525822603371,458.4046143820929
0.4200000000000001,0.000663693997933,-0.00267623197405,10.2322269318,6.26564403833,0.00172035359124,0.0,0.00205563879282,-0.0265636441813,0.999546407111,-0.0929747836309,0.00584757086387,0.0,430.96260809098965,429.9688728903373,432.652131738267,430.2555369033462
0.48000000000000015,0.000753834166197,-0.00461584556383,10.2931684102,6.26030925579,0.00195534297761,0.0,0.000921854225186,-0.0385905369507,1.03179744198,-0.081829891481,-0.000256377227613,0.0,415.8654579023404,415.3304465486893,415.7515919499631,416.7195702836855
0.5400000000000001,0.000766526941896,-0.0074494034237,10.3592010276,6.2554922909,0.00202265604294,0.0,-0.000501439529883,-0.0563811035305,1.16914581218,-0.0773570403747,0.00374519187318,0.0,449.38665203955526,449.710836726674,449.756762049244,450.1137282039718
0.6000000000000002,0.000690761960489,-0.0114652002864,10.4338583138,6.2510189151,0.0020134184162,0.0,-0.00203709447004,-0.0779723584672,1.31925362073,-0.0694753889151,-0.00939088158026,0.0,454.2176056379007,453.1630374301163,453.96410234787356,454.59178386765143
0.6600000000000003,0.000528194009107,-0.0168353141898,10.5164098378,6.24809082626,0.00158389578363,0.0,-0.00333029720736,-0.10137836681,1.4323160377,-0.0243983304413,-0.00303128936868,0.0,442.65870347133085,443.1817875963532,440.99085240032036,444.69621403010376
0.7200000000000003,0.000297321597495,-0.0236274416578,10.6047397702,6.24666881669,0.00106335637728,0.0,-0.00433394527882,-0.125165437248,1.51190661667,-0.0223393130554,-0.0234330192192,0.0,432.9846988345712,431.2651370999661,432.9200044524706,433.09312517704916
0.7800000000000004,1.79175424207e-05,-0.0320252324062,10.7019287557,6.24530328896,6.28280830806,0.0,-0.00480972566865,-0.154911496887,1.7274181316,-0.0236111506522,-0.0251769445883,0.0,475.11772411505416,474.9839818659963,473.9915997242442,473.8938553855984
0.8400000000000004,-0.000255165923368,-0.042223347663,10.8115884289,6.24416431644,6.28135186067,0.0,-0.00411992542042,-0.185162040372,1.92758051527,-0.0110432386848,-0.022527202134,0.0,471.10383218165384,471.3086126307979,469.55688376283723,470.53082953229074
0.9000000000000005,-0.000451319905234,-0.0543163097275,10.9346817194,6.24304670048,6.28076423385,0.0,-0.00230887219585,-0.21802103621,2.17508495179,-0.0415459326804,0.00793828247628,0.0,484.4674797886587,486.75268171284375,485.7136887298668,483.4208119375554
