time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity
0.06,-0.012247335126,0.00870251182942,10.0184337623,0.454398577699,0.892604595516,0.0,-0.685293244159,0.420108806614,0.39780878699,-10.8192789078,10.8181210469,0.0
0.12000000000000001,-0.0665946005586,0.0277191651452,10.0488306629,5.41401090361,1.22491662907,0.0,-0.592924042645,0.0647718332129,0.58361005398,-19.2826949027,19.2778750225,0.0
0.18,-0.113935965837,0.0195852223873,10.0624231889,2.26779354995,0.622514806446,0.0,-0.460841432309,-0.0207072027954,-0.260862407512,-24.3537588196,24.3485489959,0.0
0.23999999999999996,-0.173108450844,0.0291715469435,10.019735972,1.85496378827,3.24926599664,0.0,-1.51025435662,-0.0791771954198,-0.841899329143,-26.8779001111,26.8720970493,0.0
0.3,-0.246172555587,-0.00998659018373,9.95642330531,0.440566501922,5.1126805754,0.0,-0.642462525107,-0.966694576844,-1.39449588299,-28.0115988553,28.0037524218,0.0
0.36000000000000004,-0.254249434225,-0.0680986065752,9.8796049207,5.0719763227,0.562582804955,0.0,0.0792512768872,-1.2213092769,-1.02279273755,-28.4905393429,28.4885839094,0.0
0.4200000000000001,-0.280536317249,-0.166130984917,9.80700953993,3.36475199034,2.28429849233,0.0,-1.10361431471,-1.75612505306,-1.46042090693,-28.6892076092,28.6947194356,0.0
0.48000000000000015,-0.367716559407,-0.276379688894,9.73334782305,1.64263372435,4.00909799354,0.0,-1.46351565737,-2.21371852141,-1.01489190375,-28.7727883119,28.7762033361,0.0
0.5400000000000001,-0.418009499836,-0.425333427068,9.65697832907,6.19885736093,5.73691446236,0.0,-0.171242075227,-2.47763452071,-1.42142202223,-28.8055984096,28.8163703189,0.0
0.6000000000000002,-0.418873980192,-0.588675010232,9.58745341729,4.470334566,1.18324717151,0.0,-0.209997756495,-3.19201317422,-1.08591196879,-28.8139295061,28.8359565763,0.0
0.6600000000000003,-0.471811199047,-0.786268885424,9.50790992836,2.74139267151,2.91357927213,0.0,-1.48703983356,-3.23607576372,-1.31481529584,-28.8185251651,28.8429083472,0.0
0.7200000000000003,-0.557533969453,-1.00353013016,9.44109769035,1.0123261107,4.64430126201,0.0,-1.03616471625,-4.07716526509,-1.20121868851,-28.8166700296,28.8488200052,0.0
0.7800000000000004,-0.580520884921,-1.24703739378,9.36148826383,5.56647077114,0.0920576362533,0.0,0.0971803815552,-4.07048415534,-1.16047442462,-28.8183837665,28.8493400725,0.0
0.8400000000000004,-0.590480955959,-1.51950271128,9.29471893333,3.83732396632,1.82284789835,0.0,-0.707077958293,-4.89020178183,-1.33296631071,-28.8202407318,28.841804524,0.0
0.9000000000000005,-0.666959013659,-1.80908393059,9.21694234606,2.10818961717,3.55323917315,0.0,-1.58207708846,-4.95415721479,-1.0344920549,-28.8169688129,28.8367198497,0.0
0.9600000000000005,-0.734947284508,-2.1325836624,9.14842265241,0.379277335689,5.28343745854,0.0,-0.490504084235,-5.57602267667,-1.39684938409,-28.8126763285,28.8365143303,0.0
1.0200000000000005,-0.738930243288,-2.46912914231,9.07562078375,4.93376194382,0.730511954244,0.0,0.0397184471055,-5.92560366285,-0.974753305011,-28.8102156812,28.8393394504,0.0
1.0800000000000005,-0.77119131275,-2.84364964405,9.00323169611,3.20499649169,2.46090704476,0.0,-1.20896482658,-6.26483167732,-1.40514389698,-28.8169287292,28.8407767222,0.0
1.1400000000000006,-0.858235186787,-3.22778602398,8.93491326283,1.47587852703,4.19134149817,0.0,-1.3423653374,-6.81134426112,-0.991101336016,-28.8213502667,28.8402665674,0.0
1.2000000000000006,-0.899028785603,-3.64586047593,8.86046241025,6.02983920335,5.92170735149,0.0,-0.0451267251834,-6.92697926371,-1.29160350558,-28.8190310133,28.8381356642,0.0
1.2600000000000007,-0.899522470784,-4.08177713292,8.79650017385,4.30075496536,1.36872449258,0.0,-0.310787748961,-7.72137758584,-1.09720250482,-28.8166616762,28.8344509507,0.0
1.3200000000000007,-0.958304918586,-4.54459690942,8.71991096906,2.57164824705,3.09862713524,0.0,-1.5171891241,-7.64222499176,-1.17049827424,-28.8212973665,28.8271836022,0.0
1.3800000000000008,-1.03857598037,-5.02751888461,8.65744969006,0.842301235733,4.82824123616,0.0,-0.849980370969,-8.42021040763,-1.20589947021,-28.8242556128,28.8264722386,0.0
1.4400000000000008,-1.0531723334,-5.53022610806,8.58385762695,5.39606527109,0.274763524174,0.0,0.140653801228,-8.48487968425,-0.998822722126,-28.8228451773,28.8312901961,0.0
1.5000000000000009,-1.06645081459,-6.06562933725,8.52009338606,3.6668569556,2.00464091059,0.0,-0.822662765369,-9.14914044089,-1.3158435914,-28.8163612479,28.8312891355,0.0
1.560000000000001,-1.14511593515,-6.61017443034,8.44861051519,1.93801590445,3.73462330895,0.0,-1.50482817548,-9.25600972106,-0.919847495754,-28.8107131423,28.8355497887,0.0
1.620000000000001,-1.20373582241,-7.18622798477,8.38264386441,0.209413810188,5.46487812097,0.0,-0.312189461114,-9.67669640437,-1.31216955943,-28.8090314071,28.8404675417,0.0
1.680000000000001,-1.20302143649,-7.77487467197,8.31773258093,4.76401054965,0.912077593958,0.0,0.00478845589089,-10.196727503,-0.920390750239,-28.8110135445,28.8386326065,0.0
1.740000000000001,-1.24018162384,-8.39771754794,8.24725596033,3.03523576743,2.64241871514,0.0,-1.2735642525,-10.3035315857,-1.30357983161,-28.815962375,28.8395947823,0.0
